ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789770411,26276,26276,8,13,1274668,8314,16058760,42709,6838,506120,16040
1789770412,26412,26412,8,11,1274668,8332,16058872,42716,6856,506232,16047
1789770413,26412,26412,8,10,1274668,8332,16058872,42716,6856,506232,16047
1789770414,26412,26412,8,11,1274668,8332,16058872,42716,6856,506232,16047
1789770415,26412,26412,8,11,1274668,8332,16058872,42716,6856,506232,16047
1789770416,26412,26412,8,11,1274668,8332,16058872,42716,6856,506232,16047
1789770417,26412,26412,8,11,1274668,8332,16058872,42716,6856,506232,16047
1789770418,26412,26412,8,10,1274668,8332,16058872,42716,6856,506232,16047
1789770419,26412,26412,8,10,1274668,8332,16058872,42716,6856,506232,16047
1789770420,26412,26412,8,10,1274668,8332,16058872,42716,6856,506232,16047
1789770421,26412,26412,8,10,1274668,8332,16058872,42716,6856,506232,16047
1789770422,26428,26428,8,12,1274668,8332,16058872,42716,6856,506232,16047
1789770423,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770424,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770425,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770426,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770427,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770428,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770429,26500,26500,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770430,26592,26592,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770431,26592,26592,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770432,26608,26608,8,10,1274668,8349,16058976,42723,6873,506336,16054
1789770434,26728,26728,8,12,1274668,8358,16059032,42726,6882,506392,16057
1789770435,26800,26800,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770436,26800,26800,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770437,26832,26832,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770438,26832,26832,8,10,1274668,8366,16059080,42729,6890,506440,16060
1789770439,26832,26832,8,10,1274668,8366,16059080,42729,6890,506440,16060
1789770440,26832,26832,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770441,26832,26832,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770442,26832,26832,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770443,26832,26832,8,10,1274668,8366,16059080,42729,6890,506440,16060
1789770444,26832,26832,8,10,1274668,8366,16059080,42729,6890,506440,16060
1789770445,26832,26832,8,11,1274668,8366,16059080,42729,6890,506440,16060
1789770446,26836,26836,8,13,1274668,8366,16059080,42729,6890,506440,16060
1789770447,26836,26836,8,11,1274668,8384,16059184,42736,6908,506544,16067
1789770448,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770449,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770450,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770451,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770452,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770453,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770454,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770455,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770456,26840,26840,8,10,1274668,8384,16059184,42736,6908,506544,16067
1789770457,27004,27004,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770458,27004,27004,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770459,27004,27004,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770460,27044,27044,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770461,27044,27044,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770462,27044,27044,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770463,27044,27044,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770464,27044,27044,8,11,1274668,8403,16059288,42743,6927,506648,16073
1789770465,27044,27044,8,11,1274668,8403,16059288,42743,6927,506648,16073
1789770466,27044,27044,8,11,1274668,8403,16059288,42743,6927,506648,16073
1789770467,27044,27044,8,10,1274668,8403,16059288,42743,6927,506648,16073
1789770468,27048,27048,8,10,1274668,8420,16059392,42749,6944,506752,16079
1789770469,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770470,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770471,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770472,27048,27048,8,10,1274668,8420,16059392,42749,6944,506752,16079
1789770473,27048,27048,8,10,1274668,8420,16059392,42749,6944,506752,16079
1789770474,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770475,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770476,27048,27048,8,11,1274668,8420,16059392,42749,6944,506752,16079
1789770477,27052,27052,8,10,1274668,8420,16059392,42749,6944,506752,16079
1789770478,27052,27052,8,10,1274668,8420,16059392,42749,6944,506752,16079
1789770479,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770480,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770481,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770482,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770483,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770485,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770486,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770487,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770488,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770489,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770490,27056,27056,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770491,27072,27072,8,10,1274668,8436,16059496,42755,6960,506856,16086
1789770492,27184,27184,8,10,1274668,8454,16059608,42762,6978,506968,16092
1789770493,27188,27188,8,10,1274668,8454,16059608,42762,6978,506968,16092
1789770494,27188,27188,8,10,1274668,8454,16059608,42762,6978,506968,16092
1789770495,27188,27188,8,11,1274668,8454,16059608,42762,6978,506968,16092
