ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,utime_ticks,stime_ticks,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789777230,17876,17876,8,6,1273892,6,1,10013,16070912,43399,8506,518096,16671
1789777231,18368,18368,8,6,1273892,9,3,10013,16070912,43399,8506,518096,16671
1789777232,18640,18640,9,6,1274032,15,3,10013,16070912,43399,8506,518096,16671
1789777233,22280,22280,9,7,1274288,29,6,10018,16070944,43401,8511,518120,16673
1789777234,22524,22524,9,7,1274296,41,8,10058,16071264,43419,8551,518440,16690
1789777235,22564,22564,9,7,1274296,44,8,10065,16071312,43422,8558,518488,16692
1789777236,22600,22600,9,7,1274296,47,9,10084,16071456,43428,8577,518632,16698
1789777237,22836,22836,9,7,1274296,51,9,10084,16071456,43428,8577,518632,16698
1789777238,23132,23132,9,7,1274296,58,9,10116,16071704,43441,8609,518880,16711
1789777239,23512,23512,9,7,1274296,60,9,10116,16071704,43441,8609,518880,16711
1789777241,23636,23636,9,7,1274296,68,9,10135,16071840,43448,8628,519016,16718
1789777242,23728,23728,9,7,1274296,76,9,10149,16071936,43453,8642,519112,16723
1789777243,24092,24092,9,10,1274296,79,12,10163,16072024,43458,8656,519200,16728
1789777244,24092,24092,9,10,1274296,79,12,10163,16072024,43458,8656,519200,16728
1789777245,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777246,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777247,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777248,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777249,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777250,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777251,24184,24184,9,11,1274296,80,12,10163,16072024,43458,8656,519200,16728
1789777252,24184,24184,9,10,1274296,80,12,10163,16072024,43458,8656,519200,16728
